"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 00:00","2018","11","01","00:00","2.9","","-2.3","","69","","34","","32","","24.1","","88.45","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 01:00","2018","11","01","01:00","2.0","","-1.4","","78","","35","","34","","24.1","","88.54","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 02:00","2018","11","01","02:00","2.3","","-2.3","","72","","33","","31","","24.1","","88.62","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 03:00","2018","11","01","03:00","2.5","","-2.6","","69","","33","","31","","24.1","","88.67","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 04:00","2018","11","01","04:00","3.0","","-3.0","","65","","34","","36","","24.1","","88.74","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 05:00","2018","11","01","05:00","2.8","","-3.6","","63","","33","","33","","24.1","","88.85","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 06:00","2018","11","01","06:00","2.2","","-3.6","","65","","35","","25","","24.1","","88.93","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 07:00","2018","11","01","07:00","2.0","","-3.6","","67","","35","","25","","24.1","","89.00","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 08:00","2018","11","01","08:00","2.0","","-3.8","","66","","31","","18","","32.2","","89.06","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 09:00","2018","11","01","09:00","2.2","","-4.0","","63","","35","","16","","64.4","","89.10","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 10:00","2018","11","01","10:00","2.8","","-3.3","","64","","34","","16","","64.4","","89.15","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 11:00","2018","11","01","11:00","3.1","","-3.2","","63","","33","","13","","64.4","","89.15","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-11-01 12:00","2018","11","01","12:00","4.0","","-3.7","","57","","34","","10","","64.4","","89.14","","","","","","NA"
