"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 00:00","2018","05","01","00:00","9.0","","-1.2","","49","","27","","9","","24.1","","88.19","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 01:00","2018","05","01","01:00","6.7","","-1.8","","55","","36","","3","","24.1","","88.18","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 02:00","2018","05","01","02:00","8.3","","-1.1","","51","","34","","27","","24.1","","88.26","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 03:00","2018","05","01","03:00","5.8","","2.2","","77","","34","","21","","16.1","","88.35","","","","","","Rain Showers"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 04:00","2018","05","01","04:00","6.2","","1.1","","70","","34","","18","","16.1","","88.38","","","","","","Rain Showers"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 05:00","2018","05","01","05:00","5.9","","0.7","","69","","34","","14","","11.3","","88.42","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 06:00","2018","05","01","06:00","5.7","","0.2","","67","","34","","23","","16.1","","88.48","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 07:00","2018","05","01","07:00","6.2","","0.3","","66","","34","","32","","24.1","","88.53","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 08:00","2018","05","01","08:00","7.1","","-0.2","","60","","34","","36","","24.1","","88.58","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 09:00","2018","05","01","09:00","8.0","","-0.3","","56","","34","","33","","16.1","","88.63","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 10:00","2018","05","01","10:00","8.4","","-1.4","","50","","34","","34","","16.1","","88.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 11:00","2018","05","01","11:00","8.8","","-1.8","","47","","35","","29","","24.1","","88.75","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 12:00","2018","05","01","12:00","9.7","","-2.8","","41","","34","","25","","32.2","","88.74","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 13:00","2018","05","01","13:00","11.3","","-1.9","","40","","36","","24","","48.3","","88.74","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-05-01 14:00","2018","05","01","14:00","11.4","","-2.9","","36","","36","","14","","48.3","","88.75","","","","","","Mostly Cloudy"
