"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 00:00","2018","10","01","00:00","-2.1","","-3.0","","94","","17","","14","","4.0","","88.79","","","","-7","","Snow Grains,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 01:00","2018","10","01","01:00","-2.0","","-2.9","","93","","17","","12","","4.0","","88.75","","","","-6","","Snow Grains,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 02:00","2018","10","01","02:00","-1.8","","-2.8","","93","","16","","8","","4.8","","88.68","","","","-5","","Snow Grains,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 03:00","2018","10","01","03:00","-1.9","","-2.7","","94","","17","","7","","4.0","","88.66","","","","-5","","Snow Grains,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 04:00","2018","10","01","04:00","-1.9","","-2.7","","94","","36","","2","","4.0","","88.64","","","","-3","","Snow Grains,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 05:00","2018","10","01","05:00","-1.8","","-2.8","","93","","15","","3","","4.0","","88.62","","","","-3","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 06:00","2018","10","01","06:00","-1.6","","-3.1","","90","","36","","2","","4.0","","88.59","","","","-2","","Freezing Drizzle,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 07:00","2018","10","01","07:00","-1.6","","-3.0","","91","","1","","7","","4.8","","88.63","","","","-4","","Freezing Drizzle,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 08:00","2018","10","01","08:00","-1.7","","-2.6","","93","","36","","12","","3.6","","88.68","","","","-6","","Snow Grains,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-10-01 09:00","2018","10","01","09:00","-1.4","","-2.7","","91","","34","","9","","6.4","","88.72","","","","-5","","Snow"
