"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 00:00","2018","06","01","00:00","6.8","","5.8","","94","","8","","8","","4.0","","88.77","","","","","","Drizzle"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 01:00","2018","06","01","01:00","6.8","","6.0","","95","","9","","9","","6.4","","88.74","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 02:00","2018","06","01","02:00","7.0","","6.1","","94","","15","","5","","4.0","","88.73","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 03:00","2018","06","01","03:00","6.2","","5.1","","93","","31","","9","","4.8","","88.71","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 04:00","2018","06","01","04:00","6.4","","5.3","","93","","35","","9","","8.1","","88.68","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 05:00","2018","06","01","05:00","6.1","","5.4","","95","","33","","13","","2.0","","88.69","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 06:00","2018","06","01","06:00","6.5","","5.9","","96","","33","","8","","1.6","","88.71","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 07:00","2018","06","01","07:00","7.2","","6.4","","95","","5","","8","","4.0","","88.75","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 08:00","2018","06","01","08:00","7.5","","6.6","","94","","9","","7","","4.8","","88.79","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 09:00","2018","06","01","09:00","7.7","","6.5","","92","","11","","7","","24.1","","88.81","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 10:00","2018","06","01","10:00","8.2","","7.0","","92","","33","","6","","3.2","","88.81","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 11:00","2018","06","01","11:00","9.2","","6.7","","84","","36","","1","","24.1","","88.83","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 12:00","2018","06","01","12:00","10.3","","6.8","","79","","12","","7","","64.4","","88.82","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 13:00","2018","06","01","13:00","12.9","","7.1","","68","","5","","7","","48.3","","88.82","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 14:00","2018","06","01","14:00","13.9","","5.8","","58","","1","","5","","48.3","","88.83","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 15:00","2018","06","01","15:00","13.0","","5.0","","58","","33","","19","","24.1","","88.87","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 16:00","2018","06","01","16:00","14.7","","5.8","","55","","34","","14","","48.3","","88.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 17:00","2018","06","01","17:00","15.2","","5.0","","50","","1","","9","","48.3","","88.93","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 18:00","2018","06","01","18:00","15.0","","5.3","","52","","5","","17","","64.4","","88.95","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 19:00","2018","06","01","19:00","12.5","","9.5","","82","","5","","12","","6.4","","89.03","","","","","","Thunderstorms,Rain Showers"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 20:00","2018","06","01","20:00","10.9","","7.5","","80","","17","","7","","64.4","","89.04","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 21:00","2018","06","01","21:00","11.1","","6.8","","75","","16","","3","","64.4","","89.08","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 22:00","2018","06","01","22:00","11.0","","6.7","","75","","14","","3","","24.1","","89.11","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-01 23:00","2018","06","01","23:00","8.7","","7.6","","93","","33","","5","","24.1","","89.13","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-02 00:00","2018","06","02","00:00","7.2","","6.3","","94","","33","","4","","16.1","","89.16","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-06-02 01:00","2018","06","02","01:00","7.6","","5.6","","87","","21","","8","","24.1","","89.17","","","","","","NA"
