"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 00:00","2018","04","01","00:00","-12.8","","-15.7","","79","","26","","4","","24.1","","89.21","","","","-15","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 01:00","2018","04","01","01:00","-14.5","","-17.8","","77","","36","","2","","24.1","","89.16","","","","-16","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 02:00","2018","04","01","02:00","-13.9","","-16.9","","79","","33","","3","","24.1","","89.10","","","","-16","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 03:00","2018","04","01","03:00","-14.4","","-17.2","","80","","36","","1","","24.1","","89.02","","","","-15","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 04:00","2018","04","01","04:00","-13.6","","-16.3","","80","","36","","1","","24.1","","88.97","","","","-14","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 05:00","2018","04","01","05:00","-14.3","","-17.3","","78","","33","","8","","24.1","","88.91","","","","-20","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 06:00","2018","04","01","06:00","-13.4","","-16.3","","79","","35","","4","","32.2","","88.85","","","","-16","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 07:00","2018","04","01","07:00","-12.4","","-15.5","","78","","36","","7","","64.4","","88.81","","","","-17","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 08:00","2018","04","01","08:00","-10.8","","-14.5","","74","","1","","12","","64.4","","88.74","","","","-17","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-04-01 09:00","2018","04","01","09:00","-10.2","","-14.4","","71","","1","","9","","64.4","","88.70","","","","-15","","NA"
