"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 00:00","2018","09","01","00:00","12.8","","1.8","","47","","19","","12","","24.1","","88.26","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 01:00","2018","09","01","01:00","13.7","","1.5","","43","","21","","5","","24.1","","88.16","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 02:00","2018","09","01","02:00","13.3","","2.3","","47","","22","","7","","24.1","","88.12","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 03:00","2018","09","01","03:00","10.5","","2.7","","58","","19","","9","","24.1","","88.09","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 04:00","2018","09","01","04:00","13.9","","1.2","","42","","24","","8","","24.1","","88.09","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 05:00","2018","09","01","05:00","10.2","","5.3","","72","","35","","30","","24.1","","88.32","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 06:00","2018","09","01","06:00","9.4","","6.3","","81","","36","","24","","24.1","","88.43","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 07:00","2018","09","01","07:00","8.9","","7.2","","89","","34","","19","","8.1","","88.62","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 08:00","2018","09","01","08:00","7.2","","4.8","","84","","36","","29","","12.9","","88.72","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 09:00","2018","09","01","09:00","7.6","","4.2","","79","","35","","16","","16.1","","88.76","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 10:00","2018","09","01","10:00","9.2","","4.9","","75","","33","","9","","12.9","","88.81","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 11:00","2018","09","01","11:00","13.1","","4.0","","54","","36","","23","","16.1","","88.82","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 12:00","2018","09","01","12:00","14.6","","1.9","","42","","34","","16","","16.1","","88.80","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 13:00","2018","09","01","13:00","15.8","","1.5","","38","","36","","16","","24.1","","88.80","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 14:00","2018","09","01","14:00","15.4","","1.8","","40","","3","","18","","24.1","","88.82","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 15:00","2018","09","01","15:00","16.4","","1.4","","36","","35","","14","","24.1","","88.81","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 16:00","2018","09","01","16:00","15.3","","2.0","","40","","7","","8","","24.1","","88.81","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 17:00","2018","09","01","17:00","14.7","","1.3","","40","","7","","10","","24.1","","88.83","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 18:00","2018","09","01","18:00","14.2","","2.5","","45","","12","","13","","24.1","","88.86","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-09-01 19:00","2018","09","01","19:00","13.0","","3.0","","50","","12","","10","","24.1","","88.89","","","","","","NA"
